Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1480,3.510706,,
1480.004959,3.031174,,
1480.009966,3.272585,,
1480.014973,3.204503,,
1480.01998,3.164049,,
1480.024987,3.472225,,
1480.029994,3.09498,,
1480.035001,3.297581,,
1480.03996,2.980853,,
1480.044967,2.84765,,
1480.049974,2.802591,,
1480.054981,2.778582,,
1480.059988,3.301199,,
1480.064995,2.589795,,
1480.070002,3.226539,,
1480.074961,2.660837,,
1480.079968,3.089718,,
1480.084975,3.38441,,
1480.089982,3.210423,,
1480.094989,3.291332,,
1480.099996,2.729576,,
1480.105003,3.172271,,
1480.109962,3.19628,,
1480.114969,2.835481,,
1480.119976,3.497221,,
1480.124983,3.107807,,
1480.12999,3.358098,,
1480.134997,3.456109,,
1480.140004,3.039397,,
1480.144963,3.17852,,
1480.14997,3.264362,,
1480.154977,3.088731,,
1480.159984,2.973946,,
1480.164991,3.565961,,
1480.169998,3.117345,,
1480.175005,3.230157,,
1480.179964,2.829561,,
1480.184971,3.243642,,
1480.189978,3.110767,,
1480.194985,3.297252,,
1480.199992,3.353493,,
1480.204999,2.868699,,
1480.210006,2.79404,,
1480.214965,3.146617,,
1480.219972,3.151879,,
1480.224979,2.990391,,
1480.229986,3.431771,,
1480.234993,3.198583,,
1480.24,3.257126,,
1480.245007,3.045646,,
1480.249966,3.073273,,
1480.254973,3.425851,,
1480.25998,3.327182,,
1480.264987,3.102216,,
1480.269994,2.647023,,
1480.275001,3.013085,,
1480.280008,3.054526,,
1480.284967,3.159115,,
1480.289974,2.699647,,
1480.294981,2.951252,,
1480.299988,3.101887,,
1480.304995,2.569075,,
1480.310002,2.980195,,
1480.315009,3.007823,,
1480.319968,3.271269,,
1480.324975,3.160431,,
1480.329982,2.654917,,
1480.334989,2.767399,,
1480.339996,3.077878,,
1480.345003,2.862121,,
1480.35001,2.98184,,
1480.354969,3.347902,,
1480.359976,2.8835,,
1480.364983,2.961777,,
1480.36999,3.148919,,
1480.374997,3.406117,,
1480.380004,2.907509,,
1480.385011,3.143986,,
1480.38997,3.11603,,
1480.394977,2.945661,,
1480.399984,2.998285,,
1480.404991,2.826272,,
1480.409998,2.974604,,
1480.415005,3.070971,,
1480.420012,3.047948,,
1480.424971,3.120634,,
1480.429978,3.328497,,
1480.434985,2.996969,,
1480.439992,2.696029,,
1480.444999,2.886131,,
1480.450006,3.118661,,
1480.455013,3.372569,,
1480.459972,2.971644,,
1480.464979,3.195294,,
1480.469986,3.26502,,
1480.474993,3.130172,,
1480.48,3.083798,,
1480.485007,2.974604,,
1480.490014,3.312052,,
1480.494973,2.912443,,
1480.49998,2.688135,,
1480.504987,3.306132,,
1480.509994,3.316328,,
1480.515001,3.299554,,
1480.520008,3.323235,,
1480.525015,2.90126,,
1480.529975,3.27686,,
1480.534981,3.379147,,
1480.539988,2.889091,,
1480.544995,3.308434,,
1480.550002,2.756546,,
1480.555009,3.076233,,
1480.560016,2.842388,,
1480.564976,3.045317,,
1480.569982,3.08018,,
1480.574989,2.691424,,
1480.579996,3.223908,,
1480.585003,2.992693,,
1480.59001,2.830547,,
1480.595017,2.99664,,
1480.599977,3.032161,,
1480.604983,3.263704,,
1480.60999,3.271269,,
1480.614997,2.895011,,
1480.620004,2.603938,,
1480.625011,3.058802,,
1480.630018,3.164377,,
1480.634978,2.877251,,
1480.639985,2.994996,,
1480.644991,2.825285,,
1480.649998,2.929216,,
1480.655005,2.939083,,
1480.660012,3.146946,,
1480.665019,2.663139,,
1480.669979,3.039397,,
1480.674986,2.679255,,
1480.679992,2.914087,,
1480.684999,2.547368,,
1480.690006,3.069984,,
1480.695013,3.57517,,
1480.70002,2.905536,,
1480.705027,2.842716,,
1480.709987,2.941714,,
1480.714994,3.268309,,
1480.72,2.970986,,
1480.725007,3.192663,,
1480.730014,2.822983,,
1480.735021,3.436704,,
1480.740028,3.009138,,
1480.744988,3.172271,,
1480.749995,3.059459,,
1480.755001,3.446571,,
1480.760008,2.807853,,
1480.765015,3.272914,,
1480.770022,2.74339,,
1480.775029,3.158128,,
1480.779989,3.327839,,
1480.784996,3.135435,,
1480.790002,3.051895,,
1480.795009,2.956844,,
1480.800016,3.062748,,
1480.805023,3.275874,,
1480.81003,3.196938,,
1480.81499,2.905207,,
1480.819997,2.789435,,
1480.825004,3.085113,,
1480.83001,3.466305,,
1480.835017,3.134119,,
1480.840024,3.061104,,
1480.845031,2.824298,,
1480.849991,2.795684,,
1480.854998,3.070642,,
1480.860005,2.870673,,
1480.865011,3.513995,,
1480.870018,3.046304,,
1480.875025,3.330142,,
1480.880032,3.38145,,
1480.884992,3.084456,,
1480.889999,3.200556,,
1480.895006,2.684188,,
1480.900012,3.170627,,
1480.905019,2.783515,,
1480.910026,3.466963,,
1480.915033,3.05321,,
1480.919993,2.678268,,
1480.925,3.138724,,
1480.930007,3.081495,,
1480.935014,2.629592,,
1480.94002,3.269625,,
1480.945027,3.031174,,
1480.950034,2.88942,,
1480.954994,3.170627,,
1480.960001,2.7253,,
1480.965008,2.647352,,
1480.970015,2.822325,,
1480.975021,3.146617,,
1480.980028,3.175231,,
1480.985035,2.666428,,
1480.989995,3.216343,,
1480.995002,3.032819,,
1481.000009,3.424535,,
1481.005016,3.037752,,
1481.010022,2.741745,,
1481.015029,3.355796,,
1481.020036,3.323893,,
1481.024996,3.39921,,
1481.030003,3.068668,,
1481.03501,2.74635,,
1481.040017,3.345271,,
1481.045024,3.200556,,
1481.05003,2.818049,,
1481.055037,3.216343,,
1481.059997,3.185427,,
1481.065004,2.679584,,
1481.070011,2.62992,,
1481.075018,3.134119,,
1481.080025,3.282452,,
1481.085031,3.070971,,
1481.090038,2.997627,,
1481.094998,3.111425,,
1481.100005,3.335733,,
1481.105012,2.677939,,
1481.110019,3.200227,,
1481.115026,2.843703,,
1481.120033,3.397894,,
1481.125039,3.249562,,
1481.129999,2.923296,,
1481.135006,2.831863,,
1481.140013,2.813774,,
1481.14502,3.342969,,
1481.150027,2.592426,,
1481.155034,2.998285,,
1481.16004,3.236406,,
1481.165,3.024596,,
1481.170007,3.244628,,
1481.175014,3.075904,,
1481.180021,3.011112,,
1481.185028,3.050579,,
1481.190035,3.036108,,
1481.195041,2.951581,,
1481.200001,3.179836,,
1481.205008,2.758519,,
1481.210015,3.395263,,
1481.215022,2.629592,,
1481.220029,2.855872,,
1481.225036,2.795355,,
1481.230043,3.062419,,
1481.235002,3.183782,,
1481.240009,3.028543,,
1481.245016,3.199569,,
1481.250023,3.320932,,
1481.25503,2.70754,,
1481.260037,3.126554,,
1481.265044,3.080509,,
1481.270003,3.435389,,
1481.27501,2.762466,,
1481.280017,3.17556,,
1481.285024,3.071957,,
1481.290031,3.25318,,
1481.295038,3.151879,,
1481.300045,2.809827,,
1481.305004,3.090047,,
1481.310011,3.318301,,
1481.315018,3.45282,,
1481.320025,3.065051,,
1481.325032,3.310737,,
1481.330039,2.978551,,
1481.335046,3.129843,,
1481.340005,3.407432,,
1481.345012,3.11603,,
1481.350019,2.994009,,
1481.355026,3.336062,,
1481.360033,2.659192,,
1481.36504,3.174573,,
1481.370047,2.749968,,
1481.375006,3.046961,,
1481.380013,2.736483,,
1481.38502,2.75819,,
1481.390027,2.964079,,
1481.395034,2.971644,,
1481.400041,3.13083,,
1481.405048,3.347244,,
1481.410007,3.361716,,
1481.415014,3.302514,,
1481.420021,2.781871,,
1481.425028,3.109452,,
1481.430035,2.662481,,
1481.435042,2.941714,,
1481.440049,3.128857,,
1481.445008,3.252193,,
1481.450015,3.026899,,
1481.455022,3.020321,,
1481.460029,3.343297,,
1481.465036,2.693069,,
1481.470043,3.234433,,
1481.47505,3.082811,,
1481.480009,3.227197,,
1481.485016,3.357769,,
1481.490023,2.640116,,
1481.49503,2.867055,,
1481.500037,3.106821,,
1481.505044,3.437033,,
1481.510051,2.669388,,
1481.51501,3.149906,,
1481.520017,3.167666,,
1481.525024,3.189045,,
1481.530031,2.933163,,
1481.535038,2.99368,,
1481.540045,2.738127,,
1481.545052,3.260087,,
1481.550011,3.570894,,
1481.555018,2.903891,,
1481.560025,3.285412,,
1481.565032,2.807196,,
1481.570039,2.884486,,
1481.575046,3.317315,,
1481.580053,3.144644,,
1481.585012,3.361387,,
1481.590019,3.156155,,
1481.595026,2.989733,,
1481.600033,3.093336,,
1481.60504,2.911456,,
1481.610047,3.095309,,
1481.615054,3.600166,,
1481.620013,3.110767,,
1481.62502,3.458412,,
1481.630027,3.182796,,
1481.635034,2.971973,,
1481.640041,2.747336,,
1481.645048,3.300541,,
1481.650055,3.332773,,
1481.655014,3.046304,,
1481.660021,3.322248,,
1481.665028,2.792724,,
1481.670035,3.400197,,
1481.675042,3.158457,,
1481.680049,3.192992,,
1481.685056,3.258442,,
1481.690015,3.494261,,
1481.695022,3.469265,,
1481.700029,3.246273,,
1481.705036,3.162404,,
1481.710043,3.009467,,
1481.71505,2.783186,,
1481.720057,3.368951,,
1481.725016,3.068997,,
1481.730023,3.203187,,
1481.73503,3.134119,,
1481.740037,3.310079,,
1481.745044,3.114714,,
1481.750051,3.292976,,
1481.755058,2.712145,,
1481.760017,3.129186,,
1481.765024,2.622356,,
1481.770031,3.109123,,
1481.775038,3.116687,,
1481.780045,3.274558,,
1481.785052,2.690109,,
1481.790059,3.007165,,
1481.795018,3.080838,,
1481.800025,3.513337,,
1481.805032,3.012427,,
1481.810039,3.541623,,
1481.815046,3.152208,,
1481.820053,3.295607,,
1481.82506,3.34264,,
1481.830019,3.069326,,
1481.835026,3.255153,,
1481.840033,3.006507,,
1481.84504,2.900273,,
1481.850047,3.519258,,
1481.855054,2.65985,,
1481.860061,3.068668,,
1481.86502,2.807196,,
1481.870027,3.468607,,
1481.875034,3.122936,,
1481.880041,3.00256,,
1481.885048,2.970657,,
1481.890055,3.242984,,
1481.895062,2.865739,,
1481.900021,3.236735,,
1481.905028,2.846663,,
1481.910035,3.111425,,
1481.915042,3.433086,,
1481.920049,3.115043,,
1481.925056,3.185756,,
1481.930063,3.228841,,
1481.935022,3.170627,,
1481.940029,2.958488,,
1481.945036,2.619396,,
1481.950043,2.983484,,
1481.95505,2.598018,,
1481.960057,3.183454,,
1481.965064,2.70754,,
1481.970023,3.301856,,
1481.97503,2.905536,,
1481.980037,3.506759,,
1481.985044,2.955528,,
1481.990051,3.419602,,
1481.995058,3.160102,,
1482.000065,2.84469,,
1482.005024,3.068668,,
1482.010031,3.16076,,
1482.015038,2.977564,,
1482.020045,2.888762,,
1482.025052,2.659192,,
1482.030059,2.971315,,
1482.035066,2.577626,,
1482.040025,2.906522,,
1482.045032,3.308763,,
1482.050039,2.587822,,
1482.055046,3.130172,,
1482.060053,2.94303,,
1482.06506,3.05321,,
1482.070067,2.54079,,
1482.075026,3.120305,,
1482.080033,3.384081,,
1482.08504,2.605911,,
1482.090047,2.833507,,
1482.095054,3.233775,,
1482.100061,2.945332,,
1482.105068,3.174902,,
1482.110027,2.558879,,
1482.115034,3.013085,,
1482.120041,3.334417,,
1482.125048,2.745692,,
1482.130055,2.994996,,
1482.135062,3.031503,,
1482.140069,2.789106,,
1482.145028,3.152208,,
1482.150035,2.68978,,
1482.155042,3.001902,,
1482.160049,3.377832,,
1482.165056,3.039068,,
1482.170063,3.011769,,
1482.17507,3.200556,,
1482.180029,3.101887,,
1482.185036,2.834823,,
1482.190043,2.887446,,
1482.19505,2.993351,,
1482.200057,2.795684,,
1482.205064,3.320604,,
1482.210071,2.994996,,
1482.21503,2.94303,,
1482.220037,2.655574,,
1482.225044,2.75523,,
1482.230051,2.884815,,
1482.235058,3.298896,,
1482.240065,3.309421,,
1482.245072,2.878566,,
1482.250031,2.761808,,
1482.255038,3.434731,,
1482.260045,3.194965,,
1482.265052,2.694713,,
1482.270059,2.504282,,
1482.275066,2.98184,,
1482.280073,3.386054,,
1482.28508,3.190031,,
1482.290039,2.775622,,
1482.295046,2.971973,,
1482.300053,2.827587,,
1482.30506,2.666428,,
1482.310067,3.049921,,
1482.315074,2.771346,,
1482.320081,2.773648,,
1482.32504,3.434731,,
1482.330047,2.627289,,
1482.335054,2.809169,,
1482.340061,2.511847,,
1482.345068,3.06834,,
1482.350075,2.790422,,
1482.355082,3.288043,,
1482.360041,2.758848,,
1482.365048,2.848637,,
1482.370055,2.732207,,
1482.375062,2.83285,,
1482.380069,2.606898,,
1482.385076,2.77595,,
1482.390083,2.810485,,
1482.395042,2.939412,,
1482.400049,3.059459,,
1482.405056,3.359413,,
1482.410063,3.12787,,
1482.41507,3.033148,,
1482.420077,3.28574,,
1482.425084,3.470252,,
1482.430043,3.119319,,
1482.43505,2.861792,,
1482.440057,3.228184,,
1482.445064,2.812458,,
1482.450071,3.173587,,
1482.455078,3.506102,,
1482.460085,2.953884,,
1482.465044,3.240682,,
1482.470051,3.129843,,
1482.475058,2.636498,,
1482.480065,3.210094,,
1482.485072,2.966053,,
1482.490079,2.85357,,
1482.495086,3.096954,,
1482.500045,3.056499,,
1482.505052,2.852254,,
1482.510059,3.08906,,
1482.515066,2.832521,,
1482.520073,2.832192,,
1482.52508,2.688793,,
1482.530087,3.023281,,
1482.535046,2.983155,,
1482.540053,2.545065,,
1482.54506,3.102874,,
1482.550067,2.830876,,
1482.555074,2.638801,,
1482.560081,3.382765,,
1482.565088,2.834823,,
1482.570047,3.099256,,
1482.575054,3.076562,,
1482.580061,2.926585,,
1482.585068,3.348889,,
1482.590075,2.683531,,
1482.595082,3.21141,,
1482.600089,3.141355,,
1482.605048,3.056828,,
1482.610055,2.822654,,
1482.615062,2.968026,,
1482.620069,2.766084,,
1482.625076,3.095638,,
1482.630083,3.05025,,
1482.63509,3.340009,,
1482.640049,3.007823,,
1482.645056,3.540636,,
1482.650063,3.078207,,
1482.65507,2.591111,,
1482.660077,2.976249,,
1482.665084,2.890735,,
1482.670091,3.000587,,
1482.67505,3.496564,,
1482.680057,3.192663,,
1482.685064,2.901589,,
1482.690071,2.592426,,
1482.695078,2.965395,,
1482.700085,2.620711,,
1482.705092,3.214041,,
1482.710051,3.343955,,
1482.715058,3.344613,,
1482.720065,3.066366,,
1482.725072,2.86245,,
1482.730079,2.691424,,
1482.735086,3.141684,,
1482.740093,2.995982,,
1482.745052,2.930861,,
1482.750059,3.177533,,
1482.755066,2.909482,,
1482.760073,3.311066,,
1482.76508,3.058802,,
1482.770087,3.215028,,
1482.775094,2.93415,,
1482.780053,3.156813,,
1482.78506,3.311723,,
1482.790067,3.045975,,
1482.795074,3.128857,,
1482.800081,3.358098,,
1482.805088,3.216672,,
1482.810095,3.161417,,
1482.815054,3.162404,,
1482.820061,2.810156,,
1482.825068,3.313039,,
1482.830075,3.102216,,
1482.835082,2.834165,,
1482.840089,2.964737,,
1482.845096,3.412695,,
1482.850055,2.745034,,
1482.855062,2.816405,,
1482.860069,3.216343,,
1482.865076,2.812787,,
1482.870083,3.146288,,
1482.87509,2.878237,,
1482.880097,3.113398,,
1482.885056,3.399868,,
1482.890063,2.684846,,
1482.89507,2.958488,,
1482.900077,2.647023,,
1482.905084,3.068668,,
1482.910091,3.0713,,
1482.915098,3.036766,,
1482.920057,2.641761,,
1482.925064,3.049264,,
1482.930071,2.944674,,
1482.935078,3.117345,,
1482.940085,3.187071,,
1482.945092,3.167338,,
1482.950099,3.081495,,
1482.955059,2.936781,,
1482.960065,3.119976,,
1482.965072,2.617094,,
1482.970079,3.258771,,
1482.975086,3.029859,,
1482.980093,3.394277,,
1482.9851,2.590124,,
1482.99006,3.305145,,
1482.995066,2.979866,,
1483.000073,2.969671,,
1483.00508,2.701949,,
1483.010087,2.628934,,
1483.015094,3.091691,,
1483.020101,3.151222,,
1483.025061,3.154839,,
1483.030067,3.26798,,
1483.035074,2.851268,,
1483.040081,3.229828,,
1483.045088,3.28574,,
1483.050095,2.717736,,
1483.055102,3.018676,,
1483.060062,3.040712,,
1483.065069,2.841072,,
1483.070075,2.674979,,
1483.075082,3.064722,,
1483.080089,2.688135,,
1483.085096,2.945332,,
1483.090103,2.813774,,
1483.095063,2.553288,,
1483.10007,2.822983,,
1483.105076,3.230486,,
1483.110083,3.002231,,
1483.11509,3.081495,,
1483.120097,3.101229,,
1483.125104,3.400526,,
1483.130064,3.302514,,
1483.135071,2.921981,,
1483.140077,2.602622,,
1483.145084,3.427824,,
1483.150091,2.999929,,
1483.155098,2.970986,,
1483.160105,3.38441,,
1483.165065,3.093994,,
1483.170072,3.271269,,
1483.175079,3.062091,,
1483.180085,3.078207,,
1483.185092,3.450518,,
1483.190099,2.833836,,
1483.195106,3.496564,,
1483.200066,3.067353,,
1483.205073,2.762795,,
1483.21008,2.545723,,
1483.215086,3.034134,,
1483.220093,2.665441,,
1483.2251,3.069984,,
1483.230107,3.532413,,
1483.235067,2.958488,,
1483.240074,3.397894,,
1483.245081,2.872975,,
1483.250088,3.055842,,
1483.255094,2.681886,,
1483.260101,3.061433,,
1483.265108,3.045975,,
1483.270068,2.688464,,
1483.275075,3.147933,,
1483.280082,3.466634,,
1483.285089,3.158786,,
1483.290095,2.864753,,
1483.295102,3.373227,,
1483.300109,3.116359,,
1483.305069,3.303501,,
1483.310076,3.446242,,
1483.315083,3.112083,,
1483.32009,2.667744,,
1483.325096,2.723985,,
1483.330103,3.146946,,
1483.33511,2.557892,,
1483.34007,2.895998,,
1483.345077,2.879882,,
1483.350084,3.292647,,
1483.355091,2.732865,,
1483.360098,3.271927,,
1483.365104,3.196609,,
1483.370111,2.940399,,
1483.375071,2.572364,,
1483.380078,3.074589,,
1483.385085,2.658534,,
1483.390092,3.099914,,
1483.395099,3.238708,,
1483.400105,3.470581,,
1483.405112,3.070313,,
1483.410072,2.563155,,
1483.415079,2.867055,,
1483.420086,3.185756,,
1483.425093,3.448216,,
1483.4301,3.156484,,
1483.435106,3.468607,,
1483.440113,2.647681,,
1483.445073,3.226539,,
1483.45008,3.150564,,
1483.455087,3.005191,,
1483.460094,3.195294,,
1483.465101,3.110767,,
1483.470108,3.106492,,
1483.475114,3.104518,,
1483.480074,3.120634,,
1483.485081,3.012756,,
1483.490088,3.08018,,
1483.495095,3.013743,,
1483.500102,3.112412,,
1483.505109,2.630907,,
1483.510115,3.336062,,
1483.515075,3.115701,,
1483.520082,2.901918,,
1483.525089,3.026241,,
1483.530096,3.369938,,
1483.535103,3.255811,,
1483.54011,3.264033,,
1483.545116,3.338693,,
1483.550076,3.385725,,
1483.555083,2.953555,,
1483.56009,2.539145,,
1483.565097,3.00552,,
1483.570104,3.271269,,
1483.575111,3.263047,,
1483.580118,3.361716,,
1483.585077,2.745692,,
1483.590084,3.122608,,
1483.595091,3.316328,,
1483.600098,3.301856,,
1483.605105,3.217659,,
1483.610112,2.938425,,
1483.615119,3.096296,,
1483.620078,3.362045,,
1483.625085,2.90126,,
1483.630092,2.988418,,
1483.635099,2.671033,,
1483.640106,2.732536,,
1483.645113,3.04729,,
1483.65012,3.34264,,
1483.655079,3.53044,,
1483.660086,2.698002,,
1483.665093,3.120963,,
1483.6701,3.039397,,
1483.675107,2.72826,,
1483.680114,2.630907,,
1483.685121,2.83877,,
1483.69008,2.982498,,
1483.695087,2.965724,,
1483.700094,2.985129,,
1483.705101,3.228512,,
1483.710108,3.115701,,
1483.715115,2.687477,,
1483.720122,2.982169,,
1483.725081,2.982826,,
1483.730088,3.062748,,
1483.735095,3.030845,,
1483.740102,2.556577,,
1483.745109,3.118003,,
1483.750116,2.673993,,
1483.755123,3.119319,,
1483.760082,3.56629,,
1483.765089,3.041041,,
1483.770096,2.98776,,
1483.775103,3.098269,,
1483.78011,2.861135,,
1483.785117,2.822325,,
1483.790124,3.42322,,
1483.795083,3.390659,,
1483.80009,3.361058,,
1483.805097,3.158128,,
1483.810104,3.383423,,
1483.815111,3.246273,,
1483.820118,2.649654,,
1483.825125,3.108465,,
1483.830132,2.747336,,
1483.835091,2.682873,,
1483.840098,3.147275,,
1483.845105,3.066366,,
1483.850112,3.416313,,
1483.855119,2.615449,,
1483.860126,3.137079,,
1483.865133,3.117674,,
1483.870092,3.31271,,
1483.875099,3.396579,,
1483.880106,3.270282,,
1483.885113,3.022294,,
1483.89012,2.971644,,
1483.895127,3.003218,,
1483.900134,2.705238,,
1483.905093,3.389014,,
1483.9101,3.368951,,
1483.915107,3.059459,,
1483.920114,3.222263,,
1483.925121,2.634196,,
1483.930128,3.117016,,
1483.935135,2.852583,,
1483.940094,2.969342,,
1483.945101,3.185098,,
1483.950108,2.803907,,
1483.955115,2.767399,,
1483.960122,3.206805,,
1483.965129,3.174902,,
1483.970136,3.479132,,
1483.975095,3.044988,,
1483.980102,3.145301,,
1483.985109,3.45578,,
1483.990116,2.822654,,
1483.995123,3.346915,,
1484.00013,2.886131,,
1484.005137,2.967039,,
1484.010096,3.259429,,
