Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1480,6.348783,,
1480.005007,7.043757,,
1480.009966,6.064283,,
1480.014973,6.453703,,
1480.01998,6.983896,,
1480.024987,6.09816,,
1480.029994,6.341547,,
1480.035001,6.220182,,
1480.040008,5.365367,,
1480.044967,5.693281,,
1480.049974,6.007383,,
1480.054981,5.839972,,
1480.059988,6.279385,,
1480.064995,5.506137,,
1480.070002,6.31984,,
1480.075009,6.363255,,
1480.079968,5.989293,,
1480.084975,5.806752,,
1480.089982,5.952127,,
1480.094989,5.718607,,
1480.099996,5.965941,,
1480.105003,5.694597,,
1480.11001,5.742288,,
1480.114969,6.887198,,
1480.119976,6.146179,,
1480.124983,5.958376,,
1480.12999,6.291554,,
1480.134997,6.511919,,
1480.140004,5.671245,,
1480.145011,5.650524,,
1480.14997,6.245837,,
1480.154977,6.964162,,
1480.159984,6.148482,,
1480.164991,5.832736,,
1480.169998,5.601518,,
1480.175005,5.295969,,
1480.180012,5.641315,,
1480.184971,6.124472,,
1480.189978,5.488376,,
1480.194985,5.673218,,
1480.199992,6.12184,,
1480.204999,5.590006,,
1480.210006,6.98258,,
1480.215013,6.116578,,
1480.219972,5.582113,,
1480.224979,5.761035,,
1480.229986,6.034352,,
1480.234993,6.364899,,
1480.24,6.045864,,
1480.245007,7.014484,,
1480.250014,6.116907,,
1480.254973,6.759254,,
1480.25998,6.339903,,
1480.264987,5.876151,,
1480.269994,6.524417,,
1480.275001,5.936011,,
1480.280008,5.991595,,
1480.285015,6.017578,,
1480.289974,5.370301,,
1480.294981,5.310441,,
1480.299988,6.057376,,
1480.304995,6.307341,,
1480.310002,5.168356,,
1480.315009,6.188279,,
1480.320016,5.523897,,
1480.324975,6.543823,,
1480.329982,6.584607,,
1480.334989,6.05606,,
1480.339996,6.480015,,
1480.345003,5.327544,,
1480.35001,6.422457,,
1480.355017,5.935024,,
1480.359976,5.98732,,
1480.364983,6.525075,,
1480.36999,7.034218,,
1480.374997,5.387075,,
1480.380004,6.233996,,
1480.385011,6.103093,,
1480.390018,6.333325,,
1480.394977,6.113947,,
1480.399984,6.101449,,
1480.404991,5.887991,,
1480.409998,5.315374,,
1480.415005,6.247481,,
1480.420012,6.171176,,
1480.425019,6.416866,,
1480.429978,5.598229,,
1480.434985,6.376411,,
1480.439992,5.426543,,
1480.444999,6.207355,,
1480.450006,6.640191,,
1480.455013,6.028103,,
1480.46002,6.937849,,
1480.464979,5.687361,,
1480.469986,6.12184,,
1480.474993,5.365038,,
1480.48,6.00804,,
1480.485007,6.515208,,
1480.490014,6.291554,,
1480.495021,7.139139,,
1480.49998,6.159664,,
1480.504987,7.040468,,
1480.509994,6.161309,,
1480.515001,6.321484,,
1480.520008,5.825829,,
1480.525015,5.500874,,
1480.530022,5.462393,,
1480.534981,5.699859,,
1480.539988,6.527378,,
1480.544995,6.222156,,
1480.550002,6.987843,,
1480.555009,6.196501,,
1480.560016,6.250441,,
1480.565023,6.735573,,
1480.569982,6.029419,,
1480.574989,5.841616,,
1480.579996,5.711371,,
1480.585003,5.812673,,
1480.59001,6.927324,,
1480.595017,6.178741,,
1480.600024,6.556979,,
1480.604983,6.431338,,
1480.60999,6.186963,,
1480.614997,5.86135,,
1480.620004,6.125458,,
1480.625011,5.736368,,
1480.630018,5.204535,,
1480.635025,6.307013,,
1480.639985,5.399573,,
1480.644991,5.316361,,
1480.649998,6.426075,,
1480.655005,5.136453,,
1480.660012,6.207355,,
1480.665019,6.611577,,
1480.670026,6.509617,,
1480.674986,6.178412,,
1480.679992,6.675713,,
1480.684999,5.425885,,
1480.690006,6.591843,,
1480.695013,6.680975,,
1480.70002,6.453374,,
1480.705027,6.362926,,
1480.709987,6.137957,,
1480.714994,6.730311,,
1480.72,6.561912,,
1480.725007,6.196172,,
1480.730014,6.566846,,
1480.735021,6.753334,,
1480.740028,5.735052,,
1480.744988,5.12823,,
1480.749995,5.566983,,
1480.755001,6.807274,,
1480.760008,6.635587,,
1480.765015,5.416018,,
1480.770022,6.681633,,
1480.775029,6.134668,,
1480.779989,5.245319,,
1480.784996,5.615661,,
1480.790002,5.701175,,
1480.795009,5.480482,,
1480.800016,5.961665,,
1480.805023,5.706109,,
1480.81003,6.920417,,
1480.81499,5.965283,,
1480.819997,6.195186,,
1480.825004,5.857074,,
1480.83001,6.916142,,
1480.835017,6.734916,,
1480.840024,6.068887,,
1480.845031,6.572437,,
1480.849991,5.675192,,
1480.854998,6.042246,,
1480.860005,5.925486,,
1480.865011,6.790829,,
1480.870018,6.962846,,
1480.875025,6.249455,,
1480.880032,6.434298,,
1480.884992,6.998039,,
1480.889999,5.787676,,
1480.895006,5.895556,,
1480.900012,6.279714,,
1480.905019,5.77748,,
1480.910026,5.373261,,
1480.915033,5.18513,,
1480.919993,6.116907,,
1480.925,6.135325,,
1480.930007,6.177754,,
1480.935014,5.546592,,
1480.94002,6.565201,,
1480.945027,6.529351,,
1480.950034,5.100274,,
1480.954994,6.063625,,
1480.960001,6.951334,,
1480.965008,6.182358,,
1480.970015,6.889829,,
1480.975021,6.625062,,
1480.980028,6.077439,,
1480.985035,5.284787,,
1480.989995,5.908383,,
1480.995002,6.38266,,
1481.000009,6.283332,,
1481.005016,6.263597,,
1481.010022,5.208811,,
1481.015029,6.067243,,
1481.020036,5.677494,,
1481.024996,6.518168,,
1481.030003,6.391869,,
1481.03501,5.686703,,
1481.040017,7.009879,,
1481.045024,6.960544,,
1481.05003,6.283003,,
1481.055037,6.176767,,
1481.059997,6.710248,,
1481.065004,6.971069,,
1481.070011,6.20275,,
1481.075018,6.647427,,
1481.080025,5.333793,,
1481.085031,6.499092,,
1481.090038,5.932064,,
1481.094998,6.779318,,
1481.100005,6.879962,,
1481.105012,5.951798,,
1481.110019,7.025338,,
1481.115026,6.401079,,
1481.120033,5.502848,,
1481.125039,5.887991,,
1481.129999,5.525871,,
1481.135006,6.591843,,
1481.140013,6.172163,,
1481.14502,6.779647,,
1481.150027,5.929762,,
1481.155034,6.508959,,
1481.16004,5.468642,,
1481.165,6.381345,,
1481.170007,5.703806,,
1481.175014,6.156704,,
1481.180021,5.963967,,
1481.185028,6.278398,,
1481.190035,5.716305,,
1481.195041,6.099146,,
1481.200001,6.991132,,
1481.205008,6.355361,,
1481.210015,5.375892,,
1481.215022,5.291036,,
1481.220029,6.053758,,
1481.225036,5.463709,,
1481.230043,6.181372,,
1481.235002,5.842932,,
1481.240009,5.742946,,
1481.245016,5.916606,,
1481.250023,5.544289,,
1481.25503,6.473766,,
1481.260037,5.878782,,
1481.265044,5.876808,,
1481.270003,7.082896,,
1481.27501,6.259322,,
1481.280017,6.134997,,
1481.285024,5.699202,,
1481.290031,6.659268,,
1481.295038,6.123485,,
1481.300045,6.492514,,
1481.305051,6.390225,,
1481.310011,5.697557,,
1481.315018,6.842138,,
1481.320025,6.192226,,
1481.325032,5.2269,,
1481.330039,6.065598,,
1481.335046,5.503834,,
1481.340053,5.698215,,
1481.345012,6.965806,,
1481.350019,6.236298,,
1481.355026,6.448441,,
1481.360033,6.281687,,
1481.36504,7.034218,,
1481.370047,6.332009,,
1481.375054,6.595789,,
1481.380013,5.905423,,
1481.38502,5.216704,,
1481.390027,6.609603,,
1481.395034,5.467326,,
1481.400041,6.636902,,
1481.405048,6.490211,,
1481.410055,6.495803,,
1481.415014,7.137494,,
1481.420021,6.286949,,
1481.425028,5.901147,,
1481.430035,5.440357,,
1481.435042,6.313591,,
1481.440049,5.611714,,
1481.445056,6.940481,,
1481.450015,6.417195,,
1481.455022,6.056389,,
1481.460029,6.525733,,
